direction,rsu,vehicle,sender,receiver,packets_received,min_msgId,max_msgId,packets_expected,mean_distance_m,median_distance_m,min_distance_m,max_distance_m,mean_delay_ms,median_delay_ms,simulation_duration_s,pdr_overall,pdr_sliding_window
V2I,rsu[0],carNoIp[5],carNoIp[5],rsu[0],456,0,561,562,213.91947149122808,127.0555,20.811999999999998,792.627,63.86184210526316,60.0,56.123,81.13879003558719,100.0
V2I,rsu[0],carNoIp[154],carNoIp[154],rsu[0],765,110,1054,945,228.2892091503267,184.743,30.221,750.0830000000001,52.70980392156863,51.0,94.38599999999997,80.95238095238095,100.0
V2I,rsu[0],carNoIp[127],carNoIp[127],rsu[0],762,5,946,942,220.66459580052467,182.9135,20.81,747.5880000000001,62.6496062992126,56.0,94.13299999999998,80.89171974522293,100.0
V2I,rsu[0],carNoIp[27],carNoIp[27],rsu[0],655,0,811,812,234.63536030534368,217.313,27.065,859.437,62.00458015267176,65.0,81.18299999999999,80.66502463054186,100.0
V2I,rsu[0],carNoIp[9],carNoIp[9],rsu[0],568,5,709,705,277.76124471830985,272.54,27.066,804.987,59.19718309859155,62.0,70.329,80.56737588652483,100.0
V2I,rsu[0],carNoIp[170],carNoIp[170],rsu[0],716,5,893,889,214.5759804469271,185.44600000000003,27.066,916.7510000000001,67.52513966480447,59.0,88.77000000000001,80.53993250843644,100.0
V2I,rsu[0],carNoIp[58],carNoIp[58],rsu[0],814,25,1035,1011,214.4917837837838,155.312,27.065,796.7139999999999,58.51228501228501,64.0,100.98499999999999,80.51434223541048,100.0
V2I,rsu[0],carNoIp[185],carNoIp[185],rsu[0],578,0,718,719,158.6588096885813,87.756,21.758000000000003,829.632,49.766435986159166,52.0,71.84899999999999,80.3894297635605,100.0
V2I,rsu[0],carNoIp[21],carNoIp[21],rsu[0],561,0,697,698,281.1921711229947,278.017,20.815,794.7360000000001,56.09447415329768,60.0,69.7,80.37249283667622,100.0
V2I,rsu[0],carNoIp[114],carNoIp[114],rsu[0],627,0,780,781,285.8059186602869,277.84,27.075,794.393,54.6682615629984,49.0,77.92299999999997,80.28169014084507,100.0
V2I,rsu[0],carNoIp[142],carNoIp[142],rsu[0],699,0,870,871,173.7805693848357,97.264,30.217,868.16,44.8483547925608,48.0,86.96100000000001,80.25258323765786,100.0
V2I,rsu[0],carNoIp[133],carNoIp[133],rsu[0],680,140,987,848,264.46830294117643,252.991,20.81,726.674,55.648529411764706,53.0,84.75899999999999,80.18867924528303,100.0
V2I,rsu[0],carNoIp[95],carNoIp[95],rsu[0],696,15,882,868,257.7946896551719,235.882,27.065,771.497,60.99425287356322,53.0,86.667,80.18433179723502,100.0
V2I,rsu[0],carNoIp[138],carNoIp[138],rsu[0],556,265,958,694,273.61397302158315,264.604,27.072,784.314,62.356115107913666,67.0,69.26100000000002,80.11527377521614,100.0
V2I,rsu[0],carNoIp[32],carNoIp[32],rsu[0],618,0,771,772,245.89394012944987,236.13099999999997,23.928,865.7819999999999,68.04368932038835,75.0,77.14699999999999,80.05181347150258,100.0
V2I,rsu[0],carNoIp[6],carNoIp[6],rsu[0],642,10,811,802,266.05631619937714,245.1565,44.466,742.927,60.03582554517134,64.0,80.159,80.0498753117207,100.0
V2I,rsu[0],carNoIp[71],carNoIp[71],rsu[0],732,175,1092,918,252.52631284153006,233.188,27.065,753.75,45.919398907103826,54.0,91.72899999999998,79.73856209150327,100.0
V2I,rsu[0],carNoIp[131],carNoIp[131],rsu[0],621,0,778,779,190.07290016103056,151.543,30.217,874.273,67.9549114331723,77.0,77.81799999999998,79.71758664955071,100.0
V2I,rsu[0],carNoIp[174],carNoIp[174],rsu[0],664,95,927,833,253.38653463855414,229.701,27.068,759.1080000000001,53.36295180722892,50.0,83.17599999999999,79.71188475390156,100.0
V2I,rsu[0],carNoIp[111],carNoIp[111],rsu[0],695,80,951,872,234.77748776978422,207.924,27.065,791.9010000000001,44.79280575539568,50.0,87.06199999999998,79.70183486238533,100.0
V2I,rsu[0],carNoIp[124],carNoIp[124],rsu[0],361,0,453,454,246.53095013850415,214.24099999999999,30.219,760.216,37.686980609418285,40.0,45.281000000000006,79.51541850220264,100.0
V2I,rsu[0],carNoIp[189],carNoIp[189],rsu[0],438,0,551,552,200.82890639269408,127.8865,20.81,776.927,56.92009132420091,71.0,55.16599999999997,79.34782608695652,100.0
V2I,rsu[0],carNoIp[129],carNoIp[129],rsu[0],864,70,1159,1090,218.3389803240749,161.7375,23.932,851.6110000000001,53.260416666666664,55.0,108.94399999999999,79.26605504587157,100.0
V2I,rsu[0],carNoIp[11],carNoIp[11],rsu[0],620,0,782,783,269.56612096774177,260.9185,30.218000000000004,842.45,51.63225806451613,34.0,78.212,79.18263090676884,100.0
V2I,rsu[0],carNoIp[52],carNoIp[52],rsu[0],762,0,962,963,245.71620997375314,215.7565,23.930999999999997,819.7819999999999,41.75853018372703,34.0,96.154,79.12772585669782,100.0
V2I,rsu[0],carNoIp[193],carNoIp[193],rsu[0],384,140,625,486,252.21025520833328,218.71699999999998,20.815,761.46,67.56770833333333,72.0,48.56399999999999,79.01234567901234,100.0
V2I,rsu[0],carNoIp[122],carNoIp[122],rsu[0],553,0,699,700,278.1779891500903,276.343,27.065,850.705,45.68535262206148,32.0,69.929,79.0,100.0
