sender,total_sent
carNoIp[178],2461
carNoIp[180],2446
carNoIp[183],2446
carNoIp[186],2430
carNoIp[187],2430
carNoIp[191],2415
carNoIp[193],2399
carNoIp[199],2383
carNoIp[201],2369
carNoIp[202],2369
carNoIp[209],2368
carNoIp[213],2352
carNoIp[218],2337
carNoIp[220],2321
carNoIp[223],2321
carNoIp[224],2306
carNoIp[229],2290
carNoIp[231],2290
carNoIp[232],2275
carNoIp[235],2275
carNoIp[236],2259
carNoIp[237],2259
carNoIp[238],2259
carNoIp[241],2245
carNoIp[242],2245
carNoIp[245],2245
carNoIp[246],2245
carNoIp[248],2244
carNoIp[260],2197
carNoIp[272],2150
carNoIp[274],2150
carNoIp[276],2135
carNoIp[278],2135
carNoIp[279],2135
carNoIp[281],2121
carNoIp[282],2121
carNoIp[285],2121
carNoIp[286],2121
carNoIp[294],2104
carNoIp[296],2088
carNoIp[298],2088
carNoIp[299],2088
carNoIp[301],2073
carNoIp[302],2073
carNoIp[303],2073
carNoIp[305],2057
carNoIp[306],2057
carNoIp[308],2042
carNoIp[312],2026
carNoIp[313],2026
carNoIp[314],2026
carNoIp[317],2010
carNoIp[318],2010
carNoIp[319],2010
carNoIp[321],1996
carNoIp[322],1996
carNoIp[325],1996
carNoIp[326],1996
carNoIp[332],1979
carNoIp[334],1979
carNoIp[337],1964
carNoIp[339],1964
carNoIp[340],1948
carNoIp[341],1948
carNoIp[344],1933
carNoIp[345],1933
carNoIp[347],1933
carNoIp[351],1917
carNoIp[352],1902
carNoIp[353],1902
carNoIp[354],1902
carNoIp[355],1902
carNoIp[357],1886
carNoIp[358],1886
carNoIp[360],1872
carNoIp[361],1872
carNoIp[362],1872
carNoIp[364],1872
carNoIp[365],1872
carNoIp[366],1872
carNoIp[368],1871
carNoIp[371],1871
carNoIp[372],1855
carNoIp[374],1855
carNoIp[376],1840
carNoIp[377],1840
carNoIp[378],1840
carNoIp[381],1824
carNoIp[382],1824
carNoIp[383],1824
carNoIp[384],1808
carNoIp[385],1808
carNoIp[386],1808
carNoIp[387],1808
carNoIp[388],1793
carNoIp[390],1793
carNoIp[391],1793
carNoIp[393],1777
carNoIp[394],1777
carNoIp[396],1762
carNoIp[397],1762
carNoIp[401],1748
carNoIp[402],1748
carNoIp[403],1748
carNoIp[405],1748
carNoIp[406],1748
carNoIp[408],1746
carNoIp[409],1746
carNoIp[410],1746
carNoIp[411],1746
carNoIp[413],1731
carNoIp[414],1731
carNoIp[415],1731
carNoIp[417],1715
carNoIp[418],1715
carNoIp[419],1715
carNoIp[420],1700
carNoIp[421],1700
carNoIp[422],1700
carNoIp[423],1700
carNoIp[425],1684
carNoIp[426],1684
carNoIp[427],1684
carNoIp[428],1669
carNoIp[429],1669
carNoIp[430],1669
carNoIp[431],1669
carNoIp[432],1653
carNoIp[433],1653
carNoIp[434],1653
carNoIp[435],1653
carNoIp[436],1638
carNoIp[438],1638
carNoIp[439],1638
carNoIp[440],1624
carNoIp[441],1624
carNoIp[442],1624
carNoIp[443],1624
carNoIp[444],1624
carNoIp[445],1624
carNoIp[446],1624
carNoIp[447],1624
carNoIp[448],1622
carNoIp[449],1622
carNoIp[450],1622
carNoIp[451],1622
carNoIp[452],1606
carNoIp[453],1606
carNoIp[454],1606
carNoIp[455],1606
carNoIp[456],1591
carNoIp[457],1591
carNoIp[458],1591
carNoIp[459],1591
carNoIp[460],1575
carNoIp[461],1575
carNoIp[462],1575
carNoIp[463],1575
carNoIp[464],1560
carNoIp[466],1560
carNoIp[468],1544
carNoIp[469],1544
carNoIp[470],1544
carNoIp[471],1544
carNoIp[472],1529
carNoIp[473],1529
carNoIp[474],1529
carNoIp[475],1529
carNoIp[476],1513
carNoIp[477],1513
carNoIp[478],1513
carNoIp[479],1513
carNoIp[480],1500
carNoIp[481],1500
carNoIp[482],1500
carNoIp[483],1500
carNoIp[484],1500
carNoIp[485],1500
carNoIp[486],1500
carNoIp[487],1500
carNoIp[488],1498
carNoIp[489],1498
carNoIp[490],1498
carNoIp[491],1498
carNoIp[492],1482
carNoIp[493],1482
carNoIp[494],1482
carNoIp[495],1482
carNoIp[496],1467
carNoIp[497],1467
carNoIp[498],1467
carNoIp[499],1467
carNoIp[500],1451
carNoIp[501],1451
carNoIp[502],1451
carNoIp[503],1451
carNoIp[504],1436
carNoIp[505],1436
carNoIp[506],1436
carNoIp[507],1436
carNoIp[508],1420
carNoIp[509],1420
carNoIp[510],1420
carNoIp[511],1420
carNoIp[512],1404
carNoIp[513],1404
carNoIp[514],1404
carNoIp[515],1404
carNoIp[516],1389
carNoIp[517],1389
carNoIp[518],1389
carNoIp[519],1389
carNoIp[520],1376
carNoIp[521],1376
carNoIp[522],1376
carNoIp[523],1376
carNoIp[524],1376
carNoIp[525],1376
carNoIp[526],1376
carNoIp[527],1376
carNoIp[528],1373
carNoIp[529],1373
carNoIp[530],1373
carNoIp[531],1373
carNoIp[532],1358
carNoIp[533],1358
carNoIp[534],1358
carNoIp[535],1358
carNoIp[536],1342
carNoIp[537],1342
carNoIp[538],1342
carNoIp[539],1342
carNoIp[540],1327
carNoIp[541],1327
carNoIp[542],1327
carNoIp[543],1327
carNoIp[544],1311
carNoIp[545],1311
carNoIp[546],1311
carNoIp[547],1311
carNoIp[548],1296
carNoIp[549],1296
carNoIp[550],1296
carNoIp[551],1296
carNoIp[552],1280
carNoIp[553],1280
carNoIp[554],1280
carNoIp[555],1280
carNoIp[556],1265
carNoIp[557],1265
carNoIp[558],1265
carNoIp[559],1265
carNoIp[560],1252
carNoIp[561],1252
carNoIp[562],1252
carNoIp[563],1252
carNoIp[564],1252
carNoIp[565],1252
carNoIp[566],1252
carNoIp[567],1252
carNoIp[568],1249
carNoIp[569],1249
carNoIp[570],1249
carNoIp[571],1249
carNoIp[572],1233
carNoIp[573],1233
carNoIp[574],1233
carNoIp[575],1233
carNoIp[576],1218
carNoIp[577],1218
carNoIp[578],1218
carNoIp[579],1218
carNoIp[580],1202
carNoIp[581],1202
