t,rsu,msgId,lat,lon,heading,speed,dist_m,delay_ms,verified,cert_size,sig_size,spdu_size,Algorithm
10.893000,rsu[0],97,330.900000,248.356352,1.570796,0.000000,57.603,93.000,1,897,656,1622,Falcon-512
10.993000,rsu[0],98,330.900000,247.364043,1.570796,0.000000,56.773,93.000,1,897,656,1622,Falcon-512
11.093000,rsu[0],99,330.900000,246.416726,1.570796,0.000000,55.985,93.000,1,897,656,1622,Falcon-512
11.193000,rsu[0],100,330.900000,245.514403,1.570796,0.000000,55.239,93.000,1,897,657,1623,Falcon-512
11.293000,rsu[0],101,330.900000,244.657073,1.570796,0.000000,54.535,93.000,1,897,657,1623,Falcon-512
11.393000,rsu[0],102,330.900000,243.844736,1.570796,0.000000,53.872,93.000,1,897,656,1622,Falcon-512
11.493000,rsu[0],103,330.900000,243.077391,1.570796,0.000000,53.249,93.000,1,897,654,1620,Falcon-512
11.593000,rsu[0],104,330.900000,242.355040,1.570796,0.000000,52.666,93.000,1,897,656,1622,Falcon-512
11.693000,rsu[0],105,330.900000,241.677681,1.570796,0.000000,52.123,93.000,1,897,655,1621,Falcon-512
11.793000,rsu[0],106,330.900000,241.045316,1.570796,0.000000,51.619,93.000,1,897,658,1624,Falcon-512
11.893000,rsu[0],107,330.900000,240.386955,1.570796,0.000000,51.097,93.000,1,897,657,1623,Falcon-512
11.993000,rsu[0],108,330.898343,239.702606,1.570796,0.000000,50.557,93.000,1,897,655,1621,Falcon-512
12.093000,rsu[0],109,330.891310,238.992287,1.570796,0.000000,49.997,93.000,1,897,658,1624,Falcon-512
12.193000,rsu[0],110,330.890000,238.255945,1.570796,0.000000,49.424,93.000,1,897,654,1620,Falcon-512
12.293000,rsu[0],111,330.886606,237.493616,1.570796,0.000000,48.834,93.000,1,897,653,1619,Falcon-512
12.393000,rsu[0],112,330.879335,236.705402,1.570796,0.000000,48.227,93.000,1,897,654,1620,Falcon-512
12.493000,rsu[0],113,330.873670,235.899084,1.570796,0.000000,47.612,93.000,1,897,657,1623,Falcon-512
12.593000,rsu[0],114,330.867867,235.073106,1.570796,0.000000,46.989,93.000,1,897,656,1622,Falcon-512
12.693000,rsu[0],115,330.861918,234.226305,1.570796,0.000000,46.356,93.000,1,897,654,1620,Falcon-512
12.793000,rsu[0],116,330.855788,233.353766,1.570796,0.000000,45.712,93.000,1,897,654,1620,Falcon-512
12.893000,rsu[0],117,330.849479,232.455883,1.570796,0.000000,45.056,93.000,1,897,659,1625,Falcon-512
12.993000,rsu[0],118,330.842995,231.532960,1.570796,0.000000,44.392,93.000,1,897,660,1626,Falcon-512
13.093000,rsu[0],119,330.836376,230.590894,1.570796,0.000000,43.723,93.000,1,897,653,1619,Falcon-512
13.193000,rsu[0],120,330.829650,229.633530,1.570796,0.000000,43.054,93.000,1,897,655,1621,Falcon-512
13.293000,rsu[0],121,330.822755,228.652183,1.570796,0.000000,42.379,93.000,1,897,655,1621,Falcon-512
13.393000,rsu[0],122,330.815746,227.654568,1.570796,0.000000,41.706,93.000,1,897,653,1619,Falcon-512
13.493000,rsu[0],123,330.808601,226.637476,1.570796,0.000000,41.033,93.000,1,897,655,1621,Falcon-512
13.593000,rsu[0],124,330.801344,225.604614,1.570796,0.000000,40.365,93.000,1,897,656,1622,Falcon-512
13.693000,rsu[0],125,330.793928,224.549108,1.570796,0.000000,39.698,93.000,1,897,657,1623,Falcon-512
13.793000,rsu[0],126,330.786398,223.477298,1.570796,0.000000,39.038,93.000,1,897,654,1620,Falcon-512
13.893000,rsu[0],127,330.778735,222.386570,1.570796,0.000000,38.386,93.000,1,897,658,1624,Falcon-512
13.993000,rsu[0],128,330.770957,221.279502,1.570796,0.000000,37.745,93.000,1,897,656,1622,Falcon-512
14.093000,rsu[0],129,330.763046,220.153583,1.570796,0.000000,37.115,93.000,1,897,656,1622,Falcon-512
14.193000,rsu[0],130,330.755036,219.013396,1.570796,0.000000,36.502,93.000,1,897,652,1618,Falcon-512
14.293000,rsu[0],131,330.746863,217.850171,1.570796,0.000000,35.903,93.000,1,897,657,1623,Falcon-512
14.393000,rsu[0],132,330.738525,216.663339,1.570796,0.000000,35.320,93.000,1,897,657,1623,Falcon-512
14.493000,rsu[0],133,330.730012,215.451695,1.570796,0.000000,34.758,93.000,1,897,654,1620,Falcon-512
14.593000,rsu[0],134,330.721325,214.215230,1.570796,0.000000,34.218,93.000,1,897,655,1621,Falcon-512
14.693000,rsu[0],135,330.712496,212.958664,1.570796,0.000000,33.707,93.000,1,897,653,1619,Falcon-512
14.793000,rsu[0],136,330.703527,211.681991,1.570796,0.000000,33.229,93.000,1,897,659,1625,Falcon-512
14.893000,rsu[0],137,330.700000,210.388208,1.570796,0.000000,32.793,93.000,1,897,653,1619,Falcon-512
14.993000,rsu[0],138,330.711175,209.073680,1.570796,0.000000,32.412,93.000,1,897,656,1622,Falcon-512
15.093000,rsu[0],139,330.724657,207.739005,1.570796,0.000000,32.076,93.000,1,897,655,1621,Falcon-512
15.193000,rsu[0],140,330.746889,206.382462,1.570796,0.000000,31.798,93.000,1,897,654,1620,Falcon-512
15.293000,rsu[0],141,330.764674,205.008638,1.570796,0.000000,31.568,93.000,1,897,654,1620,Falcon-512
15.393000,rsu[0],142,330.792889,203.611972,1.570796,0.000000,31.405,93.000,1,897,657,1623,Falcon-512
15.493000,rsu[0],143,330.821566,202.192502,1.570796,0.000000,31.301,93.000,1,897,655,1621,Falcon-512
15.593000,rsu[0],144,330.856037,200.750772,1.570796,0.000000,31.268,93.000,1,897,654,1620,Falcon-512
15.693000,rsu[0],145,330.894313,199.283481,1.570796,0.000000,31.305,93.000,1,897,656,1622,Falcon-512
15.793000,rsu[0],146,330.936570,197.800924,1.570796,0.000000,31.415,93.000,1,897,656,1622,Falcon-512
15.893000,rsu[0],147,330.975978,196.301322,1.570796,0.000000,31.594,93.000,1,897,655,1621,Falcon-512
15.993000,rsu[0],148,331.015292,194.777148,1.570796,0.000000,31.847,93.000,1,897,653,1619,Falcon-512
16.093000,rsu[0],149,331.054049,193.233650,1.570796,0.000000,32.174,93.000,1,897,657,1623,Falcon-512
16.193000,rsu[0],150,331.095430,191.691298,1.570796,0.000000,32.572,93.000,1,897,653,1619,Falcon-512
16.293000,rsu[0],151,331.136818,190.148665,1.570796,0.000000,33.039,93.000,1,897,654,1620,Falcon-512
16.393000,rsu[0],152,331.178321,188.601768,1.570796,0.000000,33.571,93.000,1,897,655,1621,Falcon-512
16.493000,rsu[0],153,331.219822,187.054942,1.570796,0.000000,34.165,93.000,1,897,653,1619,Falcon-512
16.593000,rsu[0],154,331.261184,185.513315,1.570796,0.000000,34.816,93.000,1,897,652,1618,Falcon-512
16.693000,rsu[0],155,331.302480,183.974112,1.570796,0.000000,35.520,93.000,1,897,657,1623,Falcon-512
16.793000,rsu[0],156,331.343843,182.432443,1.570796,0.000000,36.277,93.000,1,897,654,1620,Falcon-512
16.893000,rsu[0],157,331.385095,180.894881,1.570796,0.000000,37.081,93.000,1,897,654,1620,Falcon-512
16.993000,rsu[0],158,331.426417,179.354743,1.570796,0.000000,37.932,93.000,1,897,657,1623,Falcon-512
17.016000,rsu[0],159,331.467744,177.814398,1.570796,0.000000,38.826,16.000,1,897,658,1624,Falcon-512
17.116000,rsu[0],160,331.509328,176.264498,1.570796,0.000000,39.764,16.000,1,897,655,1621,Falcon-512
17.216000,rsu[0],161,331.550860,174.716490,1.570796,0.000000,40.740,16.000,1,897,657,1623,Falcon-512
17.316000,rsu[0],162,331.591821,173.189795,1.570796,0.000000,41.735,16.000,1,897,656,1622,Falcon-512
17.416000,rsu[0],163,331.631575,171.708099,1.570796,0.000000,42.732,16.000,1,897,655,1621,Falcon-512
17.516000,rsu[0],164,331.670384,170.261599,1.570796,0.000000,43.731,16.000,1,897,654,1620,Falcon-512
17.616000,rsu[0],165,331.707986,168.860097,1.570796,0.000000,44.722,16.000,1,897,653,1619,Falcon-512
17.716000,rsu[0],166,331.744381,167.503593,1.570796,0.000000,45.703,16.000,1,897,651,1617,Falcon-512
17.816000,rsu[0],167,331.779568,166.192087,1.570796,0.000000,46.668,16.000,1,897,654,1620,Falcon-512
17.916000,rsu[0],168,331.813549,164.925580,1.570796,0.000000,47.616,16.000,1,897,655,1621,Falcon-512
18.016000,rsu[0],169,331.846321,163.704072,1.570796,0.000000,48.545,16.000,1,897,658,1624,Falcon-512
18.116000,rsu[0],170,331.877913,162.526580,1.570796,0.000000,49.452,16.000,1,897,657,1623,Falcon-512
18.216000,rsu[0],171,331.908298,161.394088,1.570796,0.000000,50.334,16.000,1,897,657,1623,Falcon-512
18.316000,rsu[0],172,331.937475,160.306593,1.570796,0.000000,51.191,16.000,1,897,656,1622,Falcon-512
18.416000,rsu[0],173,331.965509,159.261718,1.570796,0.000000,52.023,16.000,1,897,652,1618,Falcon-512
18.516000,rsu[0],174,331.992335,158.261840,1.570796,0.000000,52.826,16.000,1,897,657,1623,Falcon-512
18.616000,rsu[0],175,332.017954,157.306961,1.570796,0.000000,53.599,16.000,1,897,650,1616,Falcon-512
18.716000,rsu[0],176,332.042366,156.397081,1.570796,0.000000,54.341,16.000,1,897,654,1620,Falcon-512
18.816000,rsu[0],177,332.065571,155.532199,1.570796,0.000000,55.051,16.000,1,897,656,1622,Falcon-512
18.916000,rsu[0],178,332.087568,154.712315,1.570796,0.000000,55.728,16.000,1,897,657,1623,Falcon-512
19.016000,rsu[0],179,332.108358,153.937429,1.570796,0.000000,56.371,16.000,1,897,656,1622,Falcon-512
19.116000,rsu[0],180,332.127941,153.207542,1.570796,0.000000,56.980,16.000,1,897,658,1624,Falcon-512
19.216000,rsu[0],181,332.146316,152.522653,1.570796,0.000000,57.554,16.000,1,897,655,1621,Falcon-512
19.316000,rsu[0],182,332.163485,151.882763,1.570796,0.000000,58.093,16.000,1,897,654,1620,Falcon-512
19.416000,rsu[0],183,332.181350,151.216874,1.570796,0.000000,58.655,16.000,1,897,653,1619,Falcon-512
19.516000,rsu[0],184,332.199913,150.524985,1.570796,0.000000,59.242,16.000,1,897,656,1622,Falcon-512
19.616000,rsu[0],185,332.219174,149.807098,1.570796,0.000000,59.853,16.000,1,897,655,1621,Falcon-512
19.716000,rsu[0],186,332.239133,149.063211,1.570796,0.000000,60.489,16.000,1,897,655,1621,Falcon-512
19.816000,rsu[0],187,332.259788,148.293325,1.570796,0.000000,61.150,16.000,1,897,659,1625,Falcon-512
19.916000,rsu[0],188,332.281136,147.497455,1.570796,0.000000,61.835,16.000,1,897,657,1623,Falcon-512
20.016000,rsu[0],189,332.302723,146.688703,1.570796,0.000000,62.534,16.000,1,897,653,1619,Falcon-512
20.116000,rsu[0],190,332.324898,145.857918,1.570796,0.000000,63.256,16.000,1,897,658,1624,Falcon-512
20.216000,rsu[0],191,332.347576,145.008284,1.570796,0.000000,63.996,16.000,1,897,654,1620,Falcon-512
20.316000,rsu[0],192,332.370715,144.141386,1.570796,0.000000,64.754,16.000,1,897,654,1620,Falcon-512
20.416000,rsu[0],193,332.394450,143.252155,1.570796,0.000000,65.534,16.000,1,897,654,1620,Falcon-512
20.558000,rsu[0],194,332.418733,142.342393,1.570796,0.000000,66.335,58.000,1,897,658,1624,Falcon-512
20.658000,rsu[0],195,332.443683,141.407646,1.570796,0.000000,67.161,58.000,1,897,654,1620,Falcon-512
20.758000,rsu[0],196,332.468995,140.459348,1.570796,0.000000,68.002,58.000,1,897,655,1621,Falcon-512
20.858000,rsu[0],197,332.494846,139.490836,1.570796,0.000000,68.864,58.000,1,897,654,1620,Falcon-512
20.958000,rsu[0],198,332.521074,138.508219,1.570796,0.000000,69.741,58.000,1,897,654,1620,Falcon-512
21.058000,rsu[0],199,332.547831,137.505756,1.570796,0.000000,70.639,58.000,1,897,657,1623,Falcon-512
21.158000,rsu[0],200,332.575116,136.483552,1.570796,0.000000,71.558,58.000,1,897,653,1619,Falcon-512
21.258000,rsu[0],201,332.603077,135.435989,1.570796,0.000000,72.502,58.000,1,897,655,1621,Falcon-512
21.358000,rsu[0],202,332.631482,134.371787,1.570796,0.000000,73.463,58.000,1,897,653,1619,Falcon-512
21.458000,rsu[0],203,332.660525,133.283718,1.570796,0.000000,74.450,58.000,1,897,656,1622,Falcon-512
21.558000,rsu[0],204,332.690134,132.174406,1.570796,0.000000,75.458,58.000,1,897,657,1623,Falcon-512
21.658000,rsu[0],205,332.720397,131.040611,1.570796,0.000000,76.492,58.000,1,897,655,1621,Falcon-512
21.758000,rsu[0],206,332.751334,129.881570,1.570796,0.000000,77.552,58.000,1,897,659,1625,Falcon-512
